Faits;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;27;28;29;2A;2B;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95
Règlements de compte entre malfaiteurs;0;0;0;0;0;1;1;0;0;0;0;0;16;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;4;6;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;4;0;0
Homicides pour voler et à l'occasion de vols;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;2;0;1;1;1;0;0;0;1;3;0;0
Homicides pour d'autres motifs;6;6;1;2;1;15;2;3;3;1;3;0;26;6;0;9;4;0;2;2;1;3;4;1;1;7;6;7;13;4;5;12;2;15;11;5;3;3;5;2;4;0;8;2;5;4;1;2;0;5;6;5;1;1;6;2;3;12;3;24;5;0;18;3;7;2;6;8;10;17;1;2;10;2;4;21;8;4;2;1;11;4;0;10;4;6;2;2;1;0;0;13;10;27;17;8
Tentatives d'homicides pour voler et à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;6;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;6;4;2
Tentatives homicides pour d'autres motifs;5;3;7;3;0;18;1;0;1;5;1;4;57;7;1;4;8;0;1;3;2;1;1;7;8;1;4;7;15;6;10;29;0;14;17;6;3;4;20;0;3;1;8;1;21;4;0;3;1;8;6;5;3;1;7;0;12;11;3;37;7;1;13;3;4;0;6;7;6;18;4;6;2;8;6;69;14;17;18;3;6;4;5;24;26;4;1;2;1;3;3;46;21;51;38;38
Coups et blessures volontaires suivis de mort;1;1;0;0;0;2;1;1;0;0;0;0;8;2;1;0;1;1;0;1;1;0;0;2;0;1;0;1;0;0;2;4;0;3;1;0;0;1;1;1;1;2;1;1;3;1;0;1;0;1;1;2;0;0;4;1;1;2;0;9;1;0;4;1;4;1;2;4;1;1;2;0;1;2;2;11;3;3;1;0;2;0;1;2;0;2;0;1;0;2;1;1;4;4;2;2
Autres coups et blessures volontaires criminels ou correctionnels;1 118;2 046;656;293;275;4 203;606;852;357;1 033;832;432;8 191;1 831;185;789;1 499;712;508;1 150;1 219;168;782;1 333;1 336;2 136;1 039;2 074;271;305;2 310;3 303;368;4 265;3 188;2 409;440;1 298;3 246;490;830;703;1 910;319;3 258;1 980;282;754;152;1 587;818;1 986;553;525;2 350;454;1 492;2 881;576;11 474;2 988;709;6 981;1 447;1 155;474;1 580;2 813;2 138;6 735;568;1 077;1 375;1 224;1 983;10 392;4 547;4 930;3 734;636;2 343;777;584;2 946;1 618;980;808;771;970;1 154;392;4 433;4 199;9 521;4 853;5 138
Prises d'otages à l'occasion de vols;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0
Prises d'otages dans un autre but;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;1
