Faits;Ain;Aisne;Allier;Alpes-de-Haute-Provence;Hautes-Alpes;Alpes-Maritimes;Ardèche;Ardennes;Ariège;Aube;Aude;Aveyron;Bouches-du-Rhône;Calvados;Cantal;Charente;Charente-Maritime;Cher;Corrèze;Côte-d'Or;Côtes-d'Armor;Creuse;Dordogne;Doubs;Drôme;Eure;Eure-et-Loir;Finistère;Corse-du-Sud;Haute-Corse;Gard;Haute-Garonne;Gers;Gironde;Hérault;Ille-et-Vilaine;Indre;Indre-et-Loire;Isère;Jura;Landes;Loir-et-Cher;Loire;Haute-Loire;Loire-Atlantique;Loiret;Lot;Lot-et-Garonne;Lozère;Maine-et-Loire;Manche;Marne;Haute-Marne;Mayenne;Meurthe-et-Moselle;Meuse;Morbihan;Moselle;Nièvre;Nord;Oise;Orne;Pas-de-Calais;Puy-de-Dôme;Pyrénées-Atlantiques;Hautes-Pyrénées;Pyrénées-Orientales;Bas-Rhin;Haut-Rhin;Rhône;Haute-Saône;Saône-et-Loire;Sarthe;Savoie;Haute-Savoie;Paris;Seine-Maritime;Seine-et-Marne;Yvelines;Deux-Sèvres;Somme;Tarn;Tarn-et-Garonne;Var;Vaucluse;Vendée;Vienne;Haute-Vienne;Vosges;Yonne;Territoire de Belfort;Essonne;Hauts-de-Seine;Seine-Saint-Denis;Val-de-Marne;Val-d'Oise
Règlements de compte entre malfaiteurs;0;0;0;0;0;1;0;0;0;0;1;0;17;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;8;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;3;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;2;0;0;0;0;1;2;0;0;1;0;1
Homicides pour voler et à l'occasion de vols;0;0;0;0;0;1;0;3;0;0;0;0;2;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;1;3
Homicides pour d'autres motifs;5;2;4;0;1;13;1;4;1;1;5;0;36;0;0;5;9;5;1;0;6;3;2;7;3;4;6;9;6;6;6;16;0;11;17;4;1;4;8;6;5;3;4;3;6;6;1;3;1;2;6;7;2;1;8;1;3;4;1;24;10;3;9;5;12;1;8;4;4;16;3;6;7;2;8;34;15;6;10;2;5;1;3;19;3;5;4;3;1;5;2;8;14;24;11;10
Tentatives d'homicides pour voler et à l'occasion de vols;0;0;0;0;0;3;0;0;0;2;0;0;2;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0;2;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;3;0;1;1;2;0;0;0;0;1;0;0;0;0;0;1;1;0;2;3;0
Tentatives homicides pour d'autres motifs;4;4;2;2;0;34;3;0;1;2;3;2;99;9;0;2;11;5;5;7;2;1;6;15;11;4;17;7;9;5;7;18;4;22;33;9;4;6;18;1;2;3;7;0;7;2;0;0;1;9;6;1;5;1;18;0;7;9;0;52;7;1;21;3;9;2;10;6;15;15;9;3;8;9;9;107;19;22;33;11;12;1;0;35;5;3;5;3;7;0;0;66;34;60;56;31
Coups et blessures volontaires suivis de mort;0;0;1;0;0;2;1;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;1;2;1;1;0;0;0;2;1;1;2;0;0;1;4;0;2;2;0;0;5;2;0;1;0;2;0;1;0;1;1;1;1;2;0;10;3;2;3;0;1;0;3;0;0;4;0;1;1;1;0;2;2;1;4;0;6;1;0;4;2;1;0;2;2;0;0;3;1;4;1;3
Autres coups et blessures volontaires criminels ou correctionnels;1 164;2 095;720;366;273;4 863;630;930;388;1 022;862;405;8 070;1 805;230;804;1 518;720;489;968;1 084;147;713;1 457;1 449;1 950;1 036;2 344;308;386;2 197;3 386;308;4 122;3 332;2 524;495;1 237;3 160;515;812;788;1 968;372;3 639;2 153;282;709;130;1 578;940;2 054;545;576;2 293;461;1 435;2 903;529;11 469;2 670;668;7 163;1 363;1 187;520;1 425;2 791;2 223;6 250;591;968;1 423;1 235;1 927;9 302;4 357;4 483;3 481;629;2 335;765;586;3 676;1 587;1 021;827;785;824;1 116;425;4 293;3 706;9 632;4 727;5 194
Prises d'otages à l'occasion de vols;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;4
Prises d'otages dans un autre but;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
Séquestrations;15;22;5;2;1;39;12;1;4;10;5;3;164;10;2;5;9;3;2;10;11;2;3;18;19;11;6;24;10;9;23;46;2;41;38;11;5;12;51;6;7;8;23;5;50;27;3;7;1;19;6;12;5;2;26;4;12;24;3;111;27;9;42;7;19;4;22;23;21;87;7;9;11;6;19;180;46;42;72;5;20;6;5;39;17;6;14;7;7;14;4;68;52;139;44;76
Menaces ou chantages pour extorsion de fonds;35;35;18;13;8;184;25;22;8;21;45;19;354;45;10;15;35;41;9;62;50;5;29;34;56;51;51;60;18;11;94;244;8;165;116;84;10;62;190;21;20;22;86;12;123;109;11;14;3;72;20;56;15;21;60;20;46;73;22;313;102;17;95;36;40;26;38;117;158;232;22;34;74;38;79;1 218;185;169;262;34;70;28;20;120;53;40;23;23;21;29;20;313;404;715;668;292
Menaces ou chantages dans un autre but;412;591;319;147;87;1 656;228;375;68;361;365;158;4 709;397;78;326;496;313;125;440;260;65;254;450;656;268;463;646;198;260;747;1 397;93;1 561;1 151;701;210;393;1 243;202;226;347;803;131;1 194;917;142;190;49;601;344;632;204;170;587;133;454;1 117;145;3 997;716;228;1 819;454;521;224;640;1 276;926;2 696;200;326;568;321;621;3 263;2 413;1 641;1 738;184;698;268;262;1 304;730;293;220;254;284;441;114;1 620;2 121;3 585;1 636;2 189
Atteintes à la dignité et à la  personnalité;311;379;151;92;37;1 030;114;126;40;183;118;75;1 374;253;51;112;197;197;79;261;194;28;99;247;214;197;214;325;94;178;420;698;44;575;602;289;101;156;782;125;124;160;437;103;557;398;47;126;33;200;100;323;121;117;261;85;249;606;135;1 761;344;161;623;345;168;86;205;620;398;1 009;98;209;301;197;380;1 455;1 205;482;529;144;340;129;88;502;275;195;148;157;130;191;52;440;405;594;313;649
Violations de domicile;53;79;30;24;10;347;42;39;8;46;48;23;312;61;4;37;69;42;31;41;95;9;46;58;67;56;27;150;29;27;108;139;10;164;148;85;14;45;98;31;47;32;81;26;197;77;12;48;7;77;42;66;13;30;65;12;74;94;20;264;76;37;194;58;66;31;68;113;76;224;14;38;48;67;104;380;196;135;206;35;89;29;42;165;55;79;31;33;49;49;15;130;144;322;122;157
Vols à main armée contre des établissements financiers;0;4;0;1;0;3;1;1;0;3;0;0;11;3;1;0;2;1;0;0;0;0;1;2;5;4;1;3;2;0;2;15;0;2;1;5;0;1;4;0;1;1;4;0;4;0;0;0;0;3;1;0;1;1;10;0;1;2;1;16;1;0;1;2;1;3;2;7;9;5;0;1;1;0;1;15;2;7;4;0;1;1;0;1;4;0;0;0;1;0;1;2;12;7;9;9
Vols à main armée contre des établissements industriels ou commerciaux;21;11;6;10;2;61;7;2;6;10;19;3;484;21;1;6;9;9;0;17;5;1;9;33;50;13;8;13;19;22;54;37;2;22;46;10;2;16;87;0;4;11;45;6;24;18;0;3;0;18;5;11;2;2;38;5;4;23;4;159;46;7;46;8;12;1;26;26;43;133;5;18;11;31;23;190;32;90;52;4;7;9;2;64;65;15;14;9;29;9;10;67;118;184;169;94
Vols à main armée contre des entreprises de transports de fonds;0;0;0;0;0;1;1;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;1;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;1;0;1;1;0;7;0;0;0;0;0;0;0;2;1;0;0;0;1;0;1;2;6;4;7;2
Vols à main armée contre des particuliers à leur domicile;1;3;1;2;0;14;3;0;2;3;2;0;101;3;1;3;2;2;1;8;2;0;4;3;14;3;6;4;7;5;24;7;2;2;20;2;0;5;9;0;1;0;4;2;3;6;1;2;0;7;0;3;3;2;5;2;1;7;2;35;10;0;6;2;3;0;6;11;4;19;6;1;1;3;5;50;9;10;12;1;3;3;2;33;26;1;2;1;9;5;2;17;2;21;33;13
Autres vols à main armée;3;4;5;3;0;32;3;3;1;4;6;0;321;3;0;0;5;3;0;5;6;0;2;9;14;6;4;5;6;7;37;25;0;7;36;11;1;3;57;2;1;1;15;1;19;12;3;1;0;7;1;4;1;1;18;1;2;15;2;57;26;2;9;5;2;2;15;14;15;59;3;9;4;8;4;83;23;51;25;1;4;2;1;22;30;1;1;1;4;10;3;56;23;81;64;68
Vols avec armes blanches contre des établissements financiers, commerciaux ou industriels;9;5;0;1;2;13;7;1;0;3;5;3;49;7;2;1;10;4;1;9;5;0;2;9;14;7;6;20;0;4;6;44;0;9;17;9;4;5;27;2;0;4;24;2;11;8;1;1;0;5;5;7;0;1;33;0;3;19;1;42;11;1;20;3;1;1;9;18;4;64;8;7;6;10;24;61;22;53;37;2;13;4;2;9;10;7;7;5;8;5;3;24;28;34;40;44
Vols avec armes blanches contre des particuliers à leur domicile;2;4;0;0;1;21;0;1;1;4;8;0;29;4;0;2;8;1;0;1;2;1;1;6;3;1;4;9;1;2;13;21;2;10;19;6;1;7;14;1;5;2;10;0;7;12;0;1;0;4;2;8;0;3;9;3;4;9;0;59;8;0;9;4;5;0;6;12;7;21;2;1;5;4;6;64;10;20;12;1;6;2;4;6;12;5;4;2;2;5;11;18;11;20;19;20
Autres vols avec armes blanches;13;13;14;6;3;173;6;2;2;18;18;2;748;16;2;3;21;21;1;24;5;1;7;20;59;24;24;32;2;1;174;197;3;81;192;17;1;28;182;5;10;9;45;2;111;20;5;7;0;31;6;43;7;7;47;2;9;69;7;264;64;3;45;20;21;7;43;72;37;215;4;12;33;14;37;1 168;85;186;201;10;59;6;7;47;51;14;16;32;10;13;5;261;321;369;297;505
Vols violents sans arme contre des établissements financiers, commerciaux ou industriels;3;5;2;1;1;30;3;4;1;6;0;0;28;2;0;2;4;1;0;4;10;2;5;5;8;6;3;9;1;2;6;24;0;14;17;11;0;7;18;0;3;3;13;3;10;4;1;2;0;8;1;1;3;2;10;0;3;8;3;41;14;1;10;5;3;4;10;12;13;19;1;5;2;5;13;36;37;21;19;5;11;5;0;13;5;6;1;2;10;3;4;14;36;65;29;19
Vols violents sans arme contre des particuliers à leur domicile;10;12;5;4;3;39;3;8;5;3;9;1;55;12;0;9;8;3;3;8;7;2;6;4;7;15;15;26;2;5;24;29;5;22;36;11;2;20;20;2;5;13;13;5;28;20;1;12;1;8;4;17;6;8;17;3;23;16;2;76;17;4;45;9;10;6;11;16;16;26;4;5;12;2;18;134;19;15;16;7;20;2;4;23;27;13;11;7;3;12;3;26;29;25;38;30
